legendary_action_id,name,desc,attack_bonus,damage_dice
1,Aboleth - Detect,The aboleth makes a Wisdom (Perception) check.,0,
2,Aboleth - Tail Swipe,The aboleth makes one tail attack.,0,
3,Aboleth - Psychic Drain (Costs 2 Actions),"One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.",0,
4,Adult Black Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
5,Adult Black Dragon - Tail Attack,The dragon makes a tail attack.,0,
6,Adult Black Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
7,Adult Blue Dracolich - Detect,The dracolich makes a Wisdom (Perception) check.,0,
8,Adult Blue Dracolich - Tail Attack,The dracolich makes a tail attack.,0,
9,Adult Blue Dracolich - Wing Attack (Costs 2 Actions),"The dracolich beats its tattered wings. Each creature within 10 ft. of the dracolich must succeed on a DC 21 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. After beating its wings this way, the dracolich can fly up to half its flying speed.",0,
10,Adult Blue Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
11,Adult Blue Dragon - Tail Attack,The dragon makes a tail attack.,0,
12,Adult Blue Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
13,Adult Bronze Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
14,Adult Bronze Dragon - Tail Attack,The dragon makes a tail attack.,0,
15,Adult Bronze Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
16,Adult Copper Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
17,Adult Copper Dragon - Tail Attack,The dragon makes a tail attack.,0,
18,Adult Copper Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
19,Adult Gold Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
20,Adult Gold Dragon - Tail Attack,The dragon makes a tail attack.,0,
21,Adult Gold Dragon - Wing Attack (Costs 2 Actions),The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,0,
22,Adult Green Dragon - Detect,The dragon makes a Wisdom (Perception) check.,0,
23,Adult Green Dragon - Tail Attack,The dragon makes a tail attack.,0,
