special_abilities_id,name,desc,attack_bonus,damage_dice
1,Aboleth - Amphibious,The aboleth can breathe air and water.,0,
2,Aboleth - Mucous Cloud,"While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 ft. of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.",0,
3,Aboleth - Probing Telepathy,"If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.",0,
4,Acolyte - Spellcasting,"The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has following cleric spells prepared:

• Cantrips (at will): light, sacred flame, thaumaturgy
• 1st level (3 slots): bless, cure wounds, sanctuary",0,
5,Adult Black Dragon - Amphibious,The dragon can breathe air and water.,0,
6,Adult Black Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
7,Adult Blue Dracolich - Legendary Resistance (3/Day),"If the dracolich fails a saving throw, it can choose to succeed instead.",0,
8,Adult Blue Dracolich - Magic Resistance,The dracolich has advantage on saving throws against spells and other magical effects.,0,
9,Adult Blue Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
10,Adult Brass Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
11,Adult Bronze Dragon - Amphibious,The dragon can breathe air and water.,0,
12,Adult Bronze Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
13,Adult Copper Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
14,Adult Gold Dragon - Amphibious,The dragon can breathe air and water.,0,
15,Adult Gold Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
16,Adult Green Dragon - Amphibious,The dragon can breathe air and water.,0,
17,Adult Green Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
18,Adult Red Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
19,Adult Silver Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
20,Adult White Dragon - Ice Walk,"The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn't cost it extra moment.",0,
21,Adult White Dragon - Legendary Resistance (3/Day),"If the dragon fails a saving throw, it can choose to succeed instead.",0,
22,Air Elemental - Air Form,The elemental can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.,0,
23,Ancient Black Dragon - Amphibious,The dragon can breathe air and water.,0,
