name,size,type,subtype,alignment,armor_class,hit_points,hit_dice,speed,strength,dexterity,constitution,intelligence,wisdom,charisma,wisdom_save,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,senses,languages,challenge_rating,special_abilities,actions,constitution_save,perception,history,legendary_actions,intelligence_save,religion,medicine,stealth,dexterity_save,charisma_save,persuasion,insight,deception,athletics,arcana,nature,acrobatics,strength_save,reactions,survival,investigation,intimidation,performance,arctic,coast,desert,forest,grassland,hill,mountain,swamp,underdark,underwater,urban
Aboleth,Large,aberration,,lawful evil,17,135,18d10,"10 ft., swim 40 ft.",21,9,15,18,15,18,6,,,,,"darkvision 120 ft., passive Perception 20","Deep Speech, telepathy 120 ft.",10,"['Aboleth - Amphibious', 'Aboleth - Mucous Cloud', 'Aboleth - Probing Telepathy']","{'Aboleth - Enslave (3/day)', 'Aboleth - Tail', 'Aboleth - Tentacle', 'Aboleth - Multiattack'}",6,10,12,"[{'name': 'Detect', 'desc': 'The aboleth makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Swipe', 'desc': 'The aboleth makes one tail attack.', 'attack_bonus': 0}, {'name': 'Psychic Drain (Costs 2 Actions)', 'desc': 'One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.', 'attack_bonus': 0}]",8,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Acolyte,Medium,humanoid,any race,any alignment,10,9,2d8,30 ft.,10,10,10,10,14,11,,,,,,passive Perception 12,any one language (usually Common),4-Jan,['Acolyte - Spellcasting'],{'Acolyte - Club'},,,,,,2,4,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Adult Black Dragon,Huge,dragon,,chaotic evil,19,195,17d12,"40 ft., fly 80 ft., swim 40 ft.",23,14,21,14,13,17,6,,,acid,,"blindsight 60 ft., darkvision 120 ft., passive Perception 21","Common, Draconic",14,"['Adult Black Dragon - Amphibious', 'Adult Black Dragon - Legendary Resistance (3/Day)']","{'Adult Black Dragon - Acid Breath (Recharge 5-6)', 'Adult Black Dragon - Bite', 'Adult Black Dragon - Claw', 'Adult Black Dragon - Multiattack', 'Adult Black Dragon - Tail', 'Adult Black Dragon - Frightful Presence'}",10,11,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,7,7,8,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Adult Blue Dracolich,Huge,undead,,lawful evil,19,225,18d12,"40 ft., burrow 30 ft., fly 80 ft.",25,10,23,16,15,19,,,necrotic,"lightning, poison","charmed, exhaustion, frightened, paralyzed, poisoned","blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic",17,"['Adult Blue Dracolich - Legendary Resistance (3/Day)', 'Adult Blue Dracolich - Magic Resistance']","{'Adult Blue Dracolich - Multiattack', 'Adult Blue Dracolich - Tail', 'Adult Blue Dracolich - Frightful Presence', 'Adult Blue Dracolich - Lightning Breath (Recharge 5-6)', 'Adult Blue Dracolich - Bite', 'Adult Blue Dracolich - Claw'}",,12,,"[{'name': 'Detect', 'desc': 'The dracolich makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dracolich makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dracolich beats its tattered wings. Each creature within 10 ft. of the dracolich must succeed on a DC 21 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. After beating its wings this way, the dracolich can fly up to half its flying speed.', 'attack_bonus': 0}]",,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adult Blue Dragon,Huge,dragon,,lawful evil,19,225,18d12,"40 ft., burrow 30 ft., fly 80 ft.",25,10,23,16,15,19,7,,,lightning,,"blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic",16,['Adult Blue Dragon - Legendary Resistance (3/Day)'],"{'Adult Blue Dragon - Claw', 'Adult Blue Dragon - Lightning Breath (Recharge 5-6)', 'Adult Blue Dragon - Bite', 'Adult Blue Dragon - Multiattack', 'Adult Blue Dragon - Frightful Presence', 'Adult Blue Dragon - Tail'}",11,12,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,5,5,9,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adult Brass Dragon,Huge,dragon,,chaotic good,18,172,15d12,"40 ft., burrow 40 ft., fly 80 ft.",23,10,21,14,13,17,6,,,fire,,"blindsight 60 ft., darkvision 120 ft., passive Perception 21","Common, Draconic",13,['Adult Brass Dragon - Legendary Resistance (3/Day)'],"{'Adult Brass Dragon - Bite', 'Adult Brass Dragon - Tail', 'Adult Brass Dragon - Frightful Presence', 'Adult Brass Dragon - Multiattack', 'Adult Brass Dragon - Claw', 'Adult Brass Dragon - Breath Weapons (Recharge 5-6)'}",10,11,7,,,,,5,5,8,8,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adult Bronze Dragon,Huge,dragon,,lawful good,19,212,17d12,"40 ft., fly 80 ft., swim 40 ft.",25,10,23,16,15,19,7,,,lightning,,"blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic",15,"['Adult Bronze Dragon - Amphibious', 'Adult Bronze Dragon - Legendary Resistance (3/Day)']","{'Adult Bronze Dragon - Frightful Presence', 'Adult Bronze Dragon - Breath Weapons (Recharge 5-6)', 'Adult Bronze Dragon - Bite', 'Adult Bronze Dragon - Tail', 'Adult Bronze Dragon - Multiattack', 'Adult Bronze Dragon - Claw'}",11,12,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,5,5,9,,7,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adult Copper Dragon,Huge,dragon,,chaotic good,18,184,16d12,"40 ft., climb 40 ft., fly 80 ft.",23,12,21,18,15,17,7,,,acid,,"blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic",14,['Adult Copper Dragon - Legendary Resistance (3/Day)'],"{'Adult Copper Dragon - Bite', 'Adult Copper Dragon - Frightful Presence', 'Adult Copper Dragon - Multiattack', 'Adult Copper Dragon - Tail', 'Adult Copper Dragon - Breath Weapons (Recharge 5-6)', 'Adult Copper Dragon - Claw'}",10,12,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,6,6,8,,,8,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Adult Gold Dragon,Huge,dragon,,lawful good,19,256,19d12,"40 ft., fly 80 ft., swim 40 ft.",27,14,25,16,15,24,8,,,fire,,"blindsight 60 ft., darkvision 120 ft., passive Perception 24","Common, Draconic",17,"['Adult Gold Dragon - Amphibious', 'Adult Gold Dragon - Legendary Resistance (3/Day)']","{'Adult Gold Dragon - Frightful Presence', 'Adult Gold Dragon - Multiattack', 'Adult Gold Dragon - Tail', 'Adult Gold Dragon - Bite', 'Adult Gold Dragon - Breath Weapons (Recharge 5-6)', 'Adult Gold Dragon - Claw'}",13,14,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,8,8,13,13,8,,,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adult Green Dragon,Huge,dragon,,lawful evil,19,207,18d12,"40 ft., fly 80 ft., swim 40 ft.",23,12,21,18,15,17,7,,,poison,poisoned,"blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic",15,"['Adult Green Dragon - Amphibious', 'Adult Green Dragon - Legendary Resistance (3/Day)']","{'Adult Green Dragon - Frightful Presence', 'Adult Green Dragon - Tail', 'Adult Green Dragon - Poison Breath (Recharge 5-6)', 'Adult Green Dragon - Multiattack', 'Adult Green Dragon - Bite', 'Adult Green Dragon - Claw'}",10,12,,"[{'name': 'Detect', 'desc': 'The dragon makes a Wisdom (Perception) check.', 'attack_bonus': 0}, {'name': 'Tail Attack', 'desc': 'The dragon makes a tail attack.', 'attack_bonus': 0}, {'name': 'Wing Attack (Costs 2 Actions)', 'desc': 'The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.', 'attack_bonus': 0}]",,,,6,6,8,8,7,8,,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
